,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 21, 2026 - COT Leveraged Funds >>> valid for trades from July 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
CHF,"125,000","71,949","10,072,860,000","15,156","2,121,840,000","3,637","454,625,000","11,519","1,439,875,000","-7,882",-10.95%,-52.01%,8%,"-985,250,000","-1,103,480,000",,EURUSD,NZDJPY,AUDJPY,NZDUSD,AUDUSD,CHFJPY,CADJPY,
JPY,"12,500,000","366,246","30,673,102,500","80,865","6,772,443,750","50,238","627,975,000,000","30,627","382,837,500,000","19,611",5.35%,24.25%,0.59%,"245,137,500,000","1,642,421,250",,-10.70%,-25.90%,-27.10%,-30.50%,-31.80%,-38.10%,-41.30%,
SP500 (E-MINI),"265,000","2,134,084","565,532,260,000","549,897","145,722,705,000","150,010","39,752,650,000","399,887","105,970,055,000","-249,877",-11.71%,-45.44%,-2.69%,"-66,217,405,000","-66,217,405,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","246,874","91,343,380,000","128,958","47,714,460,000","51,301","18,981,370,000","77,657","28,733,090,000","-26,356",-10.68%,-20.44%,-20.14%,"-9,751,720,000","-9,751,720,000",,,,,,,,,
US30 (YM),"200,000","78,341","15,668,200,000","20,130","4,026,000,000","9,596","1,919,200,000","10,534","2,106,800,000",-938,-1.20%,-4.66%,-4.87%,"-187,600,000","-187,600,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of April 22, 2025 - COT Leveraged Funds >>> valid for trades from April 28, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"104,500","32,880","3,435,960,000","32,331","3,378,589,500","20,902","2,184,259,000","11,429","1,194,330,500","9,473",28.81%,29.30%,-4.26%,"989,928,500","989,928,500",,USDCAD,GBPCAD,USDCHF,GBPCHF,EURCAD,EURCHF,GBPAUD,
EUR,"125,000","719,232","97,096,320,000","147,828","19,956,780,000","81,269","10,158,625,000","66,559","8,319,875,000","14,710",2.05%,9.95%,-5.66%,"1,838,750,000","1,985,850,000",,46.20%,45.70%,44.70%,44.20%,36.50%,35.00%,31.40%,
