,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 21, 2026 - COT Leveraged Funds >>> valid for trades from July 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"98,970","40,626","4,020,755,220","34,288","3,393,483,360","11,286","1,116,975,420","23,002","2,276,507,940","-11,716",-28.84%,-34.17%,-14.53%,"-1,159,532,520","-1,159,532,520",,AUDNZD,AUDCAD,AUDUSD,AUDJPY,AUDCHF,GBPNZD,GBPCAD,
EUR,"125,000","826,019","119,921,438,420","226,025","32,814,309,500","121,171","15,146,375,000","104,854","13,106,750,000","16,317",1.98%,7.22%,-1.21%,"2,039,625,000","2,368,902,060",,46.70%,45.20%,42.00%,39.20%,37.90%,36.70%,35.30%,
GBP,"62,500","285,647","23,759,581,872","105,189","8,749,423,791","68,279","4,267,437,500","36,910","2,306,875,000","31,369",10.98%,29.82%,-6.38%,"1,960,562,500","2,609,214,603",,GBPUSD,GBPJPY,GBPCHF,EURNZD,EURCAD,EURUSD,EURJPY,
CAD,"100,000","292,877","21,282,785,836","94,972","6,901,425,296","28,159","2,815,900,000","66,813","6,681,300,000","-38,654",-13.20%,-40.70%,-1.36%,"-3,865,400,000","-2,808,908,872",,32.00%,29.20%,27.90%,25.40%,24.00%,20.70%,17.90%,
AUD,"100,000","301,269","21,481,082,238","122,950","8,766,580,900","92,064","9,206,400,000","30,886","3,088,600,000","61,178",20.31%,49.76%,2.59%,"6,117,800,000","4,362,113,756",,EURCHF,USDCAD,CHFJPY,NZDCAD,USDJPY,USDCHF,NZDUSD,
NZD,"100,000","92,545","5,397,779,670","35,194","2,052,725,244","9,929","992,900,000","25,265","2,526,500,000","-15,336",-16.57%,-43.58%,11.92%,"-1,533,600,000","-894,487,536",,16.60%,3.30%,1.30%,-1.40%,-2.80%,-4.10%,-4.70%,
CHF,"125,000","104,225","16,548,063,813","18,633","2,958,407,993","6,894","861,750,000","11,739","1,467,375,000","-4,845",-4.65%,-26%,15.70%,"-605,625,000","-769,252,762",,CADJPY,CADCHF,NZDJPY,NZDCHF,GBPAUD,EURGBP,EURAUD,
JPY,"12,500,000","396,573","31,230,123,750","227,139","17,887,196,250","81,097","1,013,712,500,000","146,042","1,825,525,000,000","-64,945",-16.38%,-28.59%,0.79%,"-811,812,500,000","-5,114,418,750",,-6.10%,-7.40%,-7.50%,-8.80%,-10.00%,-11.30%,-21.30%,
SP500 (E-MINI),"373,674","2,068,443","772,923,369,582","729,746","272,687,106,804","164,096","61,318,408,704","565,650","211,368,698,100","-401,554",-19.41%,-55.03%,4.25%,"-150,050,289,396","-150,050,289,396",,,,,,,,,
NAS100 (NQ MINI),"589,633","293,186","172,872,140,738","156,763","92,432,637,979","55,696","32,840,199,568","101,067","59,592,438,411","-45,371",-15.48%,-28.94%,6.56%,"-26,752,238,843","-26,752,238,843",,,,,,,,,
US30 (YM),"252,899","82,825","20,946,359,675","30,235","7,646,401,265","9,324","2,358,030,276","20,911","5,288,370,989","-11,587",-13.99%,-38.32%,1.42%,"-2,930,340,713","-2,930,340,713",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of May 12, 2026 - COT Leveraged Funds >>> valid for trades from May 18, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"97,940","32,108","3,144,657,520","24,191","2,369,266,540","9,720","951,976,800","14,471","1,417,289,740","-4,751",-14.80%,-19.64%,8.51%,"-465,312,940","-465,312,940",,AUDNZD,GBPNZD,AUDCHF,AUDCAD,GBPCHF,AUDJPY,GBPCAD,
EUR,"125,000","829,377","122,010,687,191","213,669","31,433,113,676","115,836","14,479,500,000","97,833","12,229,125,000","18,003",2.17%,8.43%,2.79%,"2,250,375,000","2,648,443,834",,51.30%,45.90%,44.40%,43.30%,39.00%,38.30%,37.80%,
GBP,"62,500","283,643","24,100,259,326","103,056","8,756,346,270","70,179","4,386,187,500","32,877","2,054,812,500","37,302",13.15%,36.20%,10.20%,"2,331,375,000","3,169,434,371",,AUDUSD,GBPJPY,EURNZD,GBPUSD,EURCHF,EURCAD,EURJPY,
CAD,"100,000","251,467","18,377,962,761","95,727","6,996,016,341","29,032","2,903,200,000","66,695","6,669,500,000","-37,663",-14.98%,-39.34%,8.78%,"-3,766,300,000","-2,752,525,029",,33.40%,32.80%,32.00%,27.90%,25.10%,23.90%,18.90%,
AUD,"100,000","289,244","20,932,588,280","118,393","8,568,101,410","87,122","8,712,200,000","31,271","3,127,100,000","55,851",19.31%,47.17%,-5.46%,"5,585,100,000","4,041,936,870",,EURUSD,USDCHF,USDCAD,USDJPY,CADCHF,CADJPY,GBPAUD,
NZD,"100,000","86,227","5,130,851,408","35,019","2,083,770,576","7,792","779,200,000","27,227","2,722,700,000","-19,435",-22.54%,-55.50%,7.55%,"-1,943,500,000","-1,156,460,240",,14.00%,11.00%,9.90%,4.90%,1.20%,-5.00%,-5.50%,
CHF,"125,000","94,743","15,226,739,674","18,486","2,971,000,598","5,389","673,625,000","13,097","1,637,125,000","-7,708",-8.14%,-41.70%,-7.53%,"-963,500,000","-1,238,800,855",,CHFJPY,NZDCHF,NZDCAD,NZDJPY,EURGBP,NZDUSD,EURAUD,
JPY,"12,500,000","362,042","28,872,849,500","212,498","16,946,715,500","75,029","937,862,500,000","137,469","1,718,362,500,000","-62,440",-17.25%,-29.38%,-5.88%,"-780,500,000,000","-4,979,590,000",,-6.20%,-6.90%,-8.10%,-13.10%,-13.90%,-17.90%,-19.40%,
SP500 (E-MINI),"370,425","2,056,229","761,678,627,325","729,452","270,207,257,100","148,507","55,010,705,475","580,945","215,196,551,625","-432,438",-21.03%,-59.28%,-0.20%,"-160,185,846,150","-160,185,846,150",,,,,,,,,
NAS100 (NQ MINI),"582,504","287,752","167,616,691,008","146,596","85,392,756,384","47,277","27,539,041,608","99,319","57,853,714,776","-52,042",-18.09%,-35.50%,-9.71%,"-30,314,673,168","-30,314,673,168",,,,,,,,,
US30 (YM),"247,631","81,940","20,290,884,140","31,779","7,869,465,549","9,575","2,371,066,825","22,204","5,498,398,724","-12,629",-15.41%,-39.74%,5.71%,"-3,127,331,899","-3,127,331,899",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of May 5, 2026 - COT Leveraged Funds >>> valid for trades from May 11, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"98,470","32,496","3,199,881,120","20,619","2,030,352,930","7,407","729,367,290","13,212","1,300,985,640","-5,805",-17.86%,-28.15%,-12.90%,"-571,618,350","-571,618,350",,AUDNZD,AUDCAD,GBPNZD,AUDCHF,AUDUSD,AUDJPY,GBPCAD,
EUR,"125,000","815,942","119,602,818,215","209,872","30,763,562,440","110,859","13,857,375,000","99,013","12,376,625,000","11,846",1.45%,5.64%,0.17%,"1,480,750,000","1,736,416,295",,57.80%,50.40%,44.50%,43.40%,40.40%,38.10%,37.10%,
GBP,"62,500","276,143","23,440,053,376","100,177","8,503,399,424","63,113","3,944,562,500","37,064","2,316,500,000","26,049",9.43%,26%,-6.78%,"1,628,062,500","2,211,136,804",,EURNZD,GBPCHF,GBPUSD,EURCAD,GBPJPY,EURCHF,EURUSD,
CAD,"100,000","243,793","17,941,702,042","99,240","7,303,468,560","25,741","2,574,100,000","73,499","7,349,900,000","-47,758",-19.59%,-48.12%,3.49%,"-4,775,800,000","-3,514,702,252",,34.30%,30.10%,27.10%,26.90%,24.80%,19.90%,16.90%,
AUD,"100,000","279,532","20,162,363,628","107,550","7,757,473,950","82,075","8,207,500,000","25,475","2,547,500,000","56,600",20.25%,52.63%,4.66%,"5,660,000,000","4,082,501,400",,EURJPY,USDCAD,USDCHF,USDJPY,CHFJPY,CADCHF,NZDCAD,
NZD,"100,000","85,340","5,040,607,100","30,602","1,807,507,130","5,654","565,400,000","24,948","2,494,800,000","-19,294",-22.61%,-63.05%,-9.02%,"-1,929,400,000","-1,139,600,110",,14.60%,10.00%,3.00%,-2.30%,-5.30%,-7.00%,-7.50%,
CHF,"125,000","94,468","15,117,241,700","19,412","3,106,405,300","6,389","798,625,000","13,023","1,627,875,000","-6,634",-7.02%,-34.17%,-7.48%,"-829,250,000","-1,061,605,850",,EURGBP,CADJPY,GBPAUD,NZDCHF,NZDUSD,NZDJPY,EURAUD,
JPY,"12,500,000","354,005","28,231,898,750","225,067","17,949,093,250","86,085","1,076,062,500,000","138,982","1,737,275,000,000","-52,897",-14.94%,-23.50%,8.16%,"-661,212,500,000","-4,218,535,750",,-10.20%,-12.30%,-13.30%,-14.40%,-17.40%,-19.80%,-23.50%,
SP500 (E-MINI),"369,947","1,987,685","735,338,102,695","687,045","254,170,236,615","140,585","52,008,998,995","546,460","202,161,237,620","-405,875",-20.42%,-59.08%,3.76%,"-150,152,238,625","-150,152,238,625",,,,,,,,,
NAS100 (NQ MINI),"584,700","287,657","168,193,047,900","139,988","81,850,983,600","51,944","30,371,656,800","88,044","51,479,326,800","-36,100",-12.55%,-25.79%,2.57%,"-21,107,670,000","-21,107,670,000",,,,,,,,,
US30 (YM),"248,046","78,430","19,454,247,780","32,335","8,020,567,410","8,819","2,187,517,674","23,516","5,833,049,736","-14,697",-18.74%,-45.45%,-0.19%,"-3,645,532,062","-3,645,532,062",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of April 28, 2026 - COT Leveraged Funds >>> valid for trades from May 4, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"98,480","30,611","3,014,571,280","20,725","2,040,998,000","8,782","864,851,360","11,943","1,176,146,640","-3,161",-10.33%,-15.25%,-4.06%,"-311,295,280","-311,295,280",,AUDNZD,AUDCAD,GBPNZD,GBPCAD,AUDJPY,AUDCHF,GBPJPY,
EUR,"125,000","801,430","117,273,251,900","212,120","31,039,519,600","111,857","13,982,125,000","100,263","12,532,875,000","11,594",1.45%,5.47%,-4.38%,"1,449,250,000","1,696,550,020",,51.00%,49.80%,43.40%,42.20%,39.80%,37.30%,32.20%,
GBP,"62,500","263,635","22,269,083,678","88,096","7,441,414,060","58,489","3,655,562,500","29,607","1,850,437,500","28,882",10.96%,32.78%,1.09%,"1,805,125,000","2,439,644,489",,AUDUSD,EURNZD,GBPCHF,EURCAD,GBPUSD,EURJPY,USDCAD,
CAD,"100,000","252,679","18,476,141,159","104,306","7,626,959,026","25,239","2,523,900,000","79,067","7,906,700,000","-53,828",-21.30%,-51.61%,12.63%,"-5,382,800,000","-3,935,957,188",,31.60%,29.80%,29.70%,28.50%,24.00%,18.60%,18.20%,
AUD,"100,000","277,370","19,813,925,950","99,761","7,126,427,035","73,808","7,380,800,000","25,953","2,595,300,000","47,855",17.25%,47.97%,-0.86%,"4,785,500,000","3,418,521,925",,EURCHF,EURUSD,USDJPY,USDCHF,CHFJPY,NZDCAD,GBPAUD,
NZD,"100,000","83,529","4,903,904,061","31,153","1,828,961,477","7,160","716,000,000","23,993","2,399,300,000","-16,833",-20.15%,-54.03%,9.03%,"-1,683,300,000","-988,248,597",,16.10%,10.40%,8.20%,5.70%,2.50%,-1.20%,-7.60%,
CHF,"125,000","94,111","14,961,060,947","19,388","3,082,158,830","7,107","888,375,000","12,281","1,535,125,000","-5,174",-5.50%,-26.69%,-8.17%,"-646,750,000","-822,523,715",,CADJPY,NZDJPY,CADCHF,EURGBP,NZDCHF,NZDUSD,EURAUD,
JPY,"12,500,000","372,780","29,216,632,500","239,402","18,763,131,750","81,800","1,022,500,000,000","157,602","1,970,025,000,000","-75,802",-20.33%,-31.66%,-1.74%,"-947,525,000,000","-5,940,981,750",,-10.00%,-11.20%,-12.50%,-13.70%,-13.70%,-19.40%,-21.20%,
SP500 (E-MINI),"361,506","1,959,933","708,527,539,098","648,506","234,438,810,036","120,508","43,564,365,048","527,998","190,874,444,988","-407,490",-20.79%,-62.84%,-0.55%,"-147,310,079,940","-147,310,079,940",,,,,,,,,
NAS100 (NQ MINI),"554,207","275,963","152,940,626,341","126,784","70,264,580,288","45,417","25,170,419,319","81,367","45,094,160,969","-35,950",-13.03%,-28.36%,2.42%,"-19,923,741,650","-19,923,741,650",,,,,,,,,
US30 (YM),"247,496","74,874","18,531,015,504","27,085","6,703,429,160","7,413","1,834,687,848","19,672","4,868,741,312","-12,259",-16.37%,-45.26%,-0.10%,"-3,034,053,464","-3,034,053,464",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of April 21, 2026 - COT Leveraged Funds >>> valid for trades from April 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"98,050","30,651","3,005,330,550","21,521","2,110,134,050","9,556","936,965,800","11,965","1,173,168,250","-2,409",-7.86%,-11.19%,1.57%,"-236,202,450","-236,202,450",,AUDCAD,AUDNZD,GBPCAD,GBPNZD,AUDJPY,EURCAD,EURNZD,
EUR,"125,000","790,622","116,035,637,830","206,201","30,263,089,765","113,259","14,157,375,000","92,942","11,617,750,000","20,317",2.57%,9.85%,-2.24%,"2,539,625,000","2,981,824,505",,56.50%,55.90%,48.00%,47.40%,39.40%,37.00%,36.50%,
GBP,"62,500","263,523","22,209,059,633","91,935","7,748,051,963","60,536","3,783,500,000","31,399","1,962,437,500","29,137",11.06%,31.69%,5.65%,"1,821,062,500","2,455,593,518",,AUDCHF,GBPJPY,AUDUSD,USDCAD,GBPCHF,GBPUSD,EURJPY,
CAD,"100,000","255,128","18,615,669,648","99,965","7,294,046,190","17,875","1,787,500,000","82,090","8,209,000,000","-64,215",-25.17%,-64.24%,-6.66%,"-6,421,500,000","-4,685,511,690",,33.70%,30.80%,30.00%,26.50%,25.10%,21.40%,19.90%,
AUD,"100,000","275,415","19,650,860,250","98,957","7,060,581,950","73,641","7,364,100,000","25,316","2,531,600,000","48,325",17.55%,48.83%,0.68%,"4,832,500,000","3,447,988,750",,EURCHF,EURUSD,USDJPY,CHFJPY,USDCHF,NZDCAD,GBPAUD,
NZD,"100,000","82,508","4,839,259,216","28,644","1,680,027,888","5,291","529,100,000","23,353","2,335,300,000","-18,062",-21.89%,-63.06%,-6.31%,"-1,806,200,000","-1,059,372,424",,14.20%,10.50%,9.40%,5.70%,3.70%,0.60%,-8.60%,
CHF,"125,000","91,532","14,600,040,490","20,330","3,242,787,475","8,282","1,035,250,000","12,048","1,506,000,000","-3,766",-4.11%,-18.52%,-2.29%,"-470,750,000","-600,705,245",,EURGBP,NZDJPY,CADJPY,EURAUD,NZDCHF,CADCHF,NZDUSD,
JPY,"12,500,000","351,782","27,614,887,000","228,937","17,971,554,500","80,220","1,002,750,000,000","148,717","1,858,962,500,000","-68,497",-19.47%,-29.92%,-3.98%,"-856,212,500,000","-5,377,014,500",,-10.90%,-16.60%,-17.20%,-19.50%,-22.30%,-22.90%,-25.90%,
SP500 (E-MINI),"360,451","1,963,317","707,679,575,967","661,987","238,613,876,137","124,833","44,996,179,683","537,154","193,617,696,454","-412,321",-21%,-62.29%,0.77%,"-148,621,516,771","-148,621,516,771",,,,,,,,,
NAS100 (NQ MINI),"549,042","267,620","146,934,620,040","126,696","69,561,425,232","43,848","24,074,393,616","82,848","45,487,031,616","-39,000",-14.57%,-30.78%,5.05%,"-21,412,638,000","-21,412,638,000",,,,,,,,,
US30 (YM),"248,261","71,200","17,676,183,200","22,110","5,489,050,710","6,063","1,505,206,443","16,047","3,983,844,267","-9,984",-14.02%,-45.16%,1.91%,"-2,478,637,824","-2,478,637,824",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of April 14, 2026 - COT Leveraged Funds >>> valid for trades from April 20, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,370","32,911","3,237,455,070","24,257","2,386,161,090","10,581","1,040,852,970","13,676","1,345,308,120","-3,095",-9.40%,-12.76%,18%,"-304,455,150","-304,455,150",,AUDCAD,AUDNZD,GBPCAD,GBPNZD,AUDJPY,EURCAD,EURNZD,
EUR,"125,000","788,828","115,121,558,320","210,006","30,648,275,640","117,694","14,711,750,000","92,312","11,539,000,000","25,382",3.22%,12.09%,11.67%,"3,172,750,000","3,704,249,080",,52.90%,52.50%,41.80%,41.40%,37.00%,34.80%,34.40%,
GBP,"62,500","250,053","20,933,186,895","85,763","7,179,649,545","54,047","3,377,937,500","31,716","1,982,250,000","22,331",8.93%,26.04%,-5.17%,"1,395,687,500","1,869,439,665",,AUDCHF,AUDUSD,GBPJPY,USDCAD,GBPCHF,GBPUSD,EURJPY,
CAD,"100,000","259,258","18,688,353,672","106,650","7,687,758,600","22,623","2,262,300,000","84,027","8,402,700,000","-61,404",-23.68%,-57.58%,-16.73%,"-6,140,400,000","-4,426,245,936",,32.20%,30.50%,26.00%,22.40%,21.10%,19.40%,19.00%,
AUD,"100,000","263,918","18,526,779,682","90,642","6,362,977,758","67,142","6,714,200,000","23,500","2,350,000,000","43,642",16.54%,48.15%,0.13%,"4,364,200,000","3,063,624,758",,EURCHF,EURUSD,USDJPY,CHFJPY,USDCHF,NZDCAD,EURGBP,
NZD,"100,000","80,727","4,685,637,261","30,115","1,747,964,945","6,512","651,200,000","23,603","2,360,300,000","-17,091",-21.17%,-56.75%,-10.01%,"-1,709,100,000","-992,012,913",,14.20%,12.40%,6.60%,4.90%,1.70%,0.40%,-7.00%,
CHF,"125,000","93,376","14,725,978,800","21,077","3,323,974,631","8,828","1,103,500,000","12,249","1,531,125,000","-3,421",-3.66%,-16.23%,-15.75%,"-427,625,000","-539,513,081",,GBPAUD,NZDJPY,CADJPY,EURAUD,NZDCHF,CADCHF,NZDUSD,
JPY,"12,500,000","354,344","27,727,418,000","209,919","16,426,161,750","77,737","971,712,500,000","132,182","1,652,275,000,000","-54,445",-15.37%,-25.94%,-0.96%,"-680,562,500,000","-4,260,321,250",,-11.10%,-15.40%,-15.80%,-18.00%,-20.30%,-20.70%,-22.00%,
SP500 (E-MINI),"265,000","1,959,076","519,155,140,000","666,628","176,656,420,000","123,136","32,631,040,000","543,492","144,025,380,000",-420356,-21.46%,-63.06%,-17.87%,"-111,394,340,000","-111,394,340,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","260,197","96,272,890,000","138,609","51,285,330,000","44,471","16,454,270,000","94,138","34,831,060,000",-49667,-19.09%,-35.83%,-6.83%,"-18,376,790,000","-18,376,790,000",,,,,,,,,
US30 (YM),"200,000","68,873","13,774,600,000","25,862","5,172,400,000","6,844","1,368,800,000","19,018","3,803,600,000",-12174,-17.68%,-47.07%,-17.18%,"-2,434,800,000","-2,434,800,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of April 7, 2026 - COT Leveraged Funds >>> valid for trades from April 13, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"99,980","36,573","3,656,568,540","28,095","2,808,938,100","9,727","972,505,460","18,368","1,836,432,640","-8,641",-23.63%,-30.76%,-2.56%,"-863,927,180","-863,927,180",,AUDNZD,AUDCAD,AUDUSD,GBPNZD,AUDJPY,GBPCAD,GBPUSD,
EUR,"125,000","775,043","111,509,311,625","208,442","29,989,592,750","104,662","13,082,750,000","103,780","12,972,500,000",882,0.11%,0.42%,-1.47%,"110,250,000","126,897,750",,47.40%,44.40%,39.40%,39.00%,36.50%,36.00%,31.00%,
GBP,"62,500","244,191","20,124,848,646","85,025","7,007,282,234","55,779","3,486,187,500","29,246","1,827,875,000","26,533",10.87%,31.21%,-3.25%,"1,658,312,500","2,186,700,612",,GBPJPY,AUDCHF,EURNZD,EURCAD,GBPCHF,EURUSD,EURJPY,
